Буква width/heigh variance(w/h)
а 1.0170393215111797 0.24590559628894054
б 0.6299731864627871 1.3060859461557575
в 0.6996338652081545 0.1664044031201247
г 0.7925824175824175 0.09434513985727813
д 0.6550882796557538 0.050137871677733065
е 0.7984316962443252 0.15103132112395337
ё 0.6727657510691768 0.14160893726143675
ж 1.0912883845126837 0.6238956339896722
з 0.7184791083795807 0.15763598928351286
и 1.3281210592686001 0.7496775813884062
й 0.7768869769260853 0.1287028729662184
к 1.1505353319057816 0.124496607145173
л 1.3287506029908345 0.29053685368423776
м 1.6688888888888889 0.28299694917152896
н 1.2502448579823702 0.1745028461896703
о 0.8363673139158576 0.26124610868767945
п 1.2151187904967602 2.7977552322104735
р 0.8548387096774195 0.8142317764475303
с 0.8762945914844648 0.46962714399008915
т 1.5321974442495614 2.4858483547980983
у 0.718986905582357 0.12842877905261516
ф 0.8912167606768735 0.30631263925057356
х 1.3311027058481233 1.3359484362819616
ц 1.0997067448680353 0.5849658022789872
ч 1.0105628489512601 0.2827886167466277
ш 1.3607581753801292 0.44564433086679744
щ 1.287578540357661 0.3793456609222738
ъ 0.9197438633938101 0.10856588431283187
ы 1.1325402144772119 0.1696675555540131
ь 0.8925831202046035 0.15100852238351917
э 0.9529943124790899 0.05494128421796056
ю 1.184256902290973 0.1605838055662891
я 1.1625784369652024 0.19127857244304738
А 0.9502463646196371 0.09154767897793033
Б 1.0951266741971921 0.8979489773403584
В 0.9690388170055452 0.1316306384352209
Г 0.9770068576038726 0.10205302034469892
Д 1.0033078539180187 0.102008216222419
Е 0.8414507322991593 0.11590650037690614
Ё 0.7863961162930235 0.13719279864850006
Ж 1.0674335121781757 0.11448205181754785
З 0.8351685130024433 0.08709125674362626
И 0.8975239472257365 0.0969233295933696
Й 0.8604030823947837 0.15378314816486094
К 1.0112335735481135 0.08682702748717153
Л 0.9490664295694144 0.19350704820888537
М 1.0263243418914527 0.07201113325941993
Н 0.9494108086143844 0.047758973492713505
О 0.8495270851246776 0.23098725783657278
П 0.9933065595716198 0.1797648233914217
Р 1.022058823529412 0.03971092056497545
С 0.8447951353699147 0.20519649154140254
Т 1.0476816836566918 0.05094494509898905
У 0.8751941998964267 0.10610216545282752
Ф 0.9542168674698795 0.07037736372134312
Х 0.9496768236380425 0.13112237306295907
Ц 0.9501661129568106 0.03746714295741816
Ч 0.8597560975609756 0.1457106555710685
Ш 1.0272108843537415 0.051131115133743806
Щ 0.9664694280078896 0.22568740191009842
Ъ 0.9028115237764665 0.11565116515369513
Ы 1.0099206349206349 0.09176107727878483
Ь 0.8396761133603238 0.05771693441525262
Э 0.8851272472565958 0.10880842437991835
Ю 1.0366155368629393 2.4281405167167365
Я 0.9142509135200975 0.05411448093055569
